Gender,Age,Alcohol Consumed,Fatigued,Time of day,Raining,Accident
Female,42,No,Yes,Daylight,Yes,No
Female,21,No,Yes,Daylight,No,No
Female,32,Yes,Yes,Nighttime,No,No
Male,51,Yes,No,Daylight,Yes,No
Male,26,Yes,No,Nighttime,Yes,No
Female,19,Yes,Yes,Daylight,No,No
Male,22,No,No,Nighttime,Yes,No
Male,50,No,Yes,Nighttime,No,Yes
Female,68,Yes,Yes,Nighttime,Yes,No
Female,35,Yes,Yes,Daylight,No,No
Female,49,No,Yes,Daylight,Yes,Yes
Female,43,No,Yes,Daylight,No,No
Female,67,Yes,Yes,Daylight,Yes,No
Female,63,Yes,Yes,Daylight,Yes,Yes
Male,69,No,Yes,Daylight,Yes,No
Female,27,Yes,No,Nighttime,No,No
Male,36,Yes,Yes,Nighttime,No,No
Female,28,Yes,No,Daylight,No,No
Female,19,No,Yes,Daylight,No,Yes
Female,50,No,No,Daylight,Yes,Yes
Male,43,No,Yes,Daylight,Yes,No
Male,50,Yes,No,Nighttime,No,No
Female,32,Yes,Yes,Daylight,No,No
Female,44,Yes,Yes,Daylight,No,No
Male,22,Yes,No,Nighttime,Yes,No
Male,30,No,Yes,Daylight,No,No
Male,46,Yes,No,Nighttime,No,No
Male,20,No,Yes,Daylight,Yes,Yes
Female,43,No,Yes,Nighttime,No,No
Female,53,No,Yes,Nighttime,Yes,No
Female,26,Yes,No,Daylight,No,No
Female,56,Yes,No,Daylight,Yes,No
Male,26,Yes,No,Daylight,No,No
Male,34,No,Yes,Daylight,No,No
Female,40,No,No,Daylight,No,No
Male,25,Yes,No,Daylight,No,No
Female,29,Yes,No,Daylight,No,Yes
Female,54,Yes,Yes,Nighttime,No,No
Female,50,No,No,Nighttime,Yes,No
Male,65,No,No,Nighttime,Yes,Yes
Female,41,No,Yes,Nighttime,Yes,No
Female,63,Yes,Yes,Daylight,No,No
Female,24,No,Yes,Daylight,Yes,No
Male,62,No,No,Daylight,Yes,No
Male,47,No,Yes,Daylight,No,No
Male,62,Yes,Yes,Nighttime,No,No
Female,51,Yes,No,Nighttime,No,Yes
Female,63,Yes,Yes,Daylight,No,Yes
Female,26,No,Yes,Nighttime,Yes,No
Female,30,No,Yes,Daylight,Yes,No
Female,54,No,No,Nighttime,Yes,No
Male,35,Yes,Yes,Nighttime,No,No
Female,55,No,Yes,Nighttime,No,No
Female,31,Yes,Yes,Nighttime,Yes,No
Male,21,No,Yes,Daylight,Yes,No
Male,27,Yes,Yes,Nighttime,Yes,No
Female,49,Yes,Yes,Daylight,No,No
Male,70,Yes,Yes,Daylight,No,Yes
Female,38,Yes,Yes,Daylight,No,No
Male,61,Yes,Yes,Nighttime,Yes,No
Female,68,Yes,No,Nighttime,Yes,No
Male,32,Yes,Yes,Nighttime,Yes,No
Male,20,No,No,Nighttime,Yes,No
Male,21,No,No,Daylight,Yes,No
Female,23,No,Yes,Nighttime,No,Yes
Male,70,Yes,Yes,Nighttime,Yes,No
Male,62,Yes,Yes,Daylight,Yes,Yes
Male,67,No,No,Nighttime,No,No
Male,36,Yes,Yes,Daylight,Yes,No
Female,55,Yes,Yes,Daylight,Yes,No
Male,63,Yes,No,Daylight,Yes,No
Female,45,No,No,Daylight,No,No
Male,38,No,Yes,Daylight,No,No
Female,33,Yes,No,Nighttime,Yes,No
Male,45,Yes,No,Daylight,Yes,No
Male,64,Yes,No,Daylight,Yes,Yes
Male,56,No,No,Nighttime,No,Yes
Female,69,Yes,No,Daylight,No,No
Female,21,Yes,Yes,Nighttime,No,Yes
Male,36,Yes,Yes,Nighttime,Yes,No
Female,49,No,Yes,Daylight,No,No
Male,43,No,Yes,Daylight,Yes,Yes
Male,68,Yes,No,Daylight,No,No
Female,70,Yes,Yes,Daylight,Yes,No
Female,56,Yes,No,Nighttime,No,No
Female,39,No,Yes,Daylight,Yes,No
Male,53,Yes,No,Nighttime,Yes,Yes
Female,45,No,No,Daylight,Yes,Yes
Male,42,Yes,Yes,Nighttime,Yes,No
Male,44,No,Yes,Nighttime,Yes,No
Male,53,Yes,No,Daylight,No,No
Male,29,Yes,No,Nighttime,No,No
Female,36,Yes,Yes,Nighttime,Yes,No
Female,36,No,No,Nighttime,Yes,No
Female,50,No,No,Daylight,No,No
Female,66,Yes,Yes,Daylight,No,No
Male,69,Yes,Yes,Daylight,Yes,No
Female,63,No,Yes,Daylight,No,No
Female,24,No,No,Daylight,No,No
Male,63,Yes,Yes,Nighttime,Yes,Yes
Male,22,Yes,No,Daylight,Yes,Yes
Male,50,Yes,Yes,Nighttime,No,No
Male,64,No,Yes,Daylight,No,No
Male,70,No,Yes,Daylight,Yes,No
Female,30,Yes,Yes,Nighttime,Yes,Yes
Male,56,Yes,No,Daylight,Yes,No
Female,43,No,Yes,Nighttime,Yes,No
Female,68,Yes,No,Daylight,No,No
Male,36,Yes,Yes,Nighttime,No,No
Female,33,No,No,Nighttime,Yes,No
Male,65,Yes,Yes,Daylight,Yes,No
Male,29,Yes,Yes,Nighttime,Yes,Yes
Female,25,No,No,Daylight,No,No
Male,69,Yes,Yes,Daylight,No,No
Male,43,No,Yes,Daylight,No,Yes
Male,66,No,No,Daylight,Yes,No
Male,33,No,Yes,Daylight,Yes,No
Male,22,No,Yes,Daylight,No,Yes
Male,45,No,No,Nighttime,No,No
Female,70,Yes,No,Daylight,No,No
Male,67,No,Yes,Nighttime,Yes,Yes
Male,19,No,No,Nighttime,No,Yes
Female,19,No,Yes,Nighttime,Yes,No
Male,65,Yes,Yes,Daylight,Yes,Yes
Female,45,No,Yes,Nighttime,No,No
Female,34,Yes,Yes,Nighttime,No,No
Male,49,No,No,Daylight,No,No
Female,30,Yes,No,Daylight,Yes,No
Female,64,No,No,Nighttime,Yes,No
Female,68,Yes,Yes,Daylight,No,No
Female,39,No,No,Daylight,No,No
Female,68,Yes,No,Daylight,Yes,No
Male,25,No,Yes,Daylight,Yes,Yes
Male,62,Yes,No,Nighttime,No,Yes
Female,66,No,No,Nighttime,Yes,No
Female,38,No,Yes,Nighttime,No,Yes
Male,18,No,Yes,Daylight,Yes,No
Male,65,No,No,Daylight,No,No
Male,24,No,Yes,Daylight,No,No
Male,46,No,Yes,Daylight,Yes,No
Male,44,No,No,Daylight,Yes,No
Female,56,No,No,Nighttime,No,Yes
Male,55,Yes,Yes,Nighttime,No,No
Female,30,No,No,Daylight,No,No
Male,60,No,No,Nighttime,No,Yes
Male,70,No,Yes,Daylight,Yes,No
Male,52,No,Yes,Daylight,Yes,No
Female,68,Yes,Yes,Daylight,Yes,Yes
Female,58,No,Yes,Daylight,Yes,No
Female,59,No,Yes,Daylight,No,No
Female,38,Yes,No,Daylight,Yes,Yes
Male,35,Yes,No,Daylight,Yes,No
Male,54,No,No,Nighttime,Yes,No
Male,46,Yes,Yes,Daylight,No,No
Female,41,No,Yes,Nighttime,Yes,Yes
Female,31,No,Yes,Nighttime,No,No
Female,43,Yes,Yes,Daylight,No,No
Female,30,Yes,No,Nighttime,No,Yes
Male,37,Yes,Yes,Nighttime,No,No
Female,22,Yes,Yes,Nighttime,No,No
Female,51,Yes,No,Daylight,No,No
Female,26,No,No,Nighttime,Yes,No
Female,47,No,No,Nighttime,Yes,Yes
Female,49,Yes,Yes,Nighttime,No,No
Female,24,No,No,Daylight,No,Yes
Female,65,No,No,Nighttime,Yes,No
Female,23,No,No,Nighttime,No,No
Male,32,No,No,Daylight,Yes,No
Female,39,Yes,No,Nighttime,Yes,No
Female,57,Yes,No,Daylight,Yes,Yes
Female,55,No,Yes,Nighttime,Yes,Yes
Male,64,Yes,No,Nighttime,Yes,No
Male,64,No,Yes,Daylight,Yes,No
Male,20,Yes,Yes,Daylight,No,No
Male,26,No,Yes,Daylight,Yes,Yes
Male,67,Yes,No,Nighttime,No,No
Female,60,No,Yes,Nighttime,Yes,No
Male,45,Yes,No,Daylight,Yes,No
Male,35,Yes,Yes,Nighttime,Yes,Yes
Female,46,No,No,Nighttime,Yes,No
Male,51,No,No,Nighttime,No,No
Female,25,No,Yes,Nighttime,Yes,No
Female,43,Yes,No,Nighttime,No,Yes
Male,49,No,Yes,Nighttime,No,No
Male,34,No,Yes,Daylight,Yes,No
Female,66,No,Yes,Nighttime,No,No
Male,46,Yes,Yes,Daylight,Yes,No
Female,34,Yes,No,Daylight,Yes,No
Female,61,No,Yes,Nighttime,No,No
Female,65,Yes,No,Daylight,Yes,Yes
Male,68,Yes,No,Daylight,No,No
Female,59,No,Yes,Daylight,No,Yes
Female,62,No,Yes,Nighttime,Yes,No
Male,30,Yes,No,Nighttime,Yes,No
Male,36,Yes,Yes,Nighttime,Yes,No
Male,53,No,Yes,Nighttime,Yes,No
Female,33,No,Yes,Nighttime,Yes,No
Male,47,Yes,Yes,Nighttime,Yes,No
Female,66,Yes,No,Daylight,Yes,No
Female,39,Yes,Yes,Daylight,Yes,No
Male,56,Yes,Yes,Daylight,Yes,No
Female,40,No,Yes,Nighttime,Yes,Yes
Female,29,Yes,No,Nighttime,Yes,Yes
Female,25,Yes,No,Daylight,No,Yes
Female,69,Yes,No,Nighttime,No,No
Male,69,Yes,Yes,Nighttime,No,No
Male,20,Yes,No,Nighttime,No,No
Female,66,No,No,Nighttime,Yes,No
Male,20,Yes,No,Nighttime,No,No
Male,34,No,No,Daylight,No,No
Male,31,Yes,No,Nighttime,No,No
Male,23,Yes,No,Daylight,Yes,No
Male,70,Yes,Yes,Nighttime,Yes,No
Male,29,No,No,Daylight,No,No
Male,57,Yes,No,Daylight,Yes,No
Male,46,No,Yes,Nighttime,No,No
Female,22,No,Yes,Nighttime,No,No
Male,37,No,Yes,Daylight,No,Yes
Male,19,Yes,Yes,Daylight,Yes,No
Male,36,No,Yes,Daylight,Yes,Yes
Female,18,No,No,Daylight,Yes,Yes
Female,22,Yes,No,Daylight,Yes,No
Male,33,Yes,No,Nighttime,No,Yes
Female,23,Yes,No,Daylight,Yes,No
Male,51,Yes,No,Daylight,No,No
Female,31,Yes,No,Daylight,No,Yes
Male,54,No,Yes,Daylight,Yes,No
Female,34,Yes,Yes,Nighttime,Yes,No
Female,45,No,No,Nighttime,Yes,No
Female,56,Yes,Yes,Nighttime,Yes,No
Male,42,Yes,No,Nighttime,No,No
Male,43,No,No,Daylight,No,Yes
Male,42,Yes,No,Nighttime,No,No
Male,31,Yes,Yes,Daylight,No,Yes
Female,28,No,No,Nighttime,Yes,Yes
Male,35,Yes,No,Daylight,No,No
Female,23,Yes,No,Daylight,No,No
Female,35,Yes,Yes,Nighttime,No,No
Female,40,Yes,No,Daylight,Yes,No
Male,66,Yes,Yes,Nighttime,No,No
Female,24,Yes,No,Nighttime,No,No
Female,61,No,No,Nighttime,No,No
Female,52,No,Yes,Nighttime,Yes,No
Male,23,No,No,Daylight,Yes,No
Male,44,Yes,Yes,Daylight,Yes,No
Female,66,Yes,Yes,Daylight,Yes,No
Male,43,Yes,Yes,Nighttime,Yes,Yes
Female,29,No,No,Daylight,Yes,No
Male,56,Yes,No,Nighttime,Yes,No
Male,58,Yes,Yes,Nighttime,Yes,No
Male,65,No,No,Daylight,Yes,No
Female,59,Yes,No,Daylight,Yes,No
Female,60,Yes,No,Nighttime,No,No
Female,41,No,Yes,Nighttime,Yes,No
Female,44,No,No,Nighttime,Yes,No
Female,69,Yes,Yes,Nighttime,Yes,Yes
Male,54,Yes,No,Nighttime,No,No
Male,22,No,No,Daylight,No,No
Male,67,Yes,Yes,Daylight,No,No
Male,36,No,Yes,Nighttime,No,Yes
Male,68,No,No,Nighttime,No,No
Male,32,Yes,No,Nighttime,Yes,No
Male,36,No,No,Daylight,No,No
Male,22,No,No,Daylight,No,No
Female,18,No,Yes,Nighttime,Yes,Yes
Female,29,Yes,No,Nighttime,Yes,No
Male,38,No,Yes,Daylight,No,No
Female,54,Yes,Yes,Nighttime,No,No
Female,25,No,No,Daylight,Yes,No
Female,28,Yes,Yes,Daylight,No,No
Male,41,Yes,No,Nighttime,No,Yes
Male,20,Yes,No,Nighttime,No,Yes
Male,57,Yes,Yes,Nighttime,Yes,Yes
Female,26,No,Yes,Daylight,Yes,No
Male,53,No,Yes,Daylight,Yes,Yes
Male,50,No,Yes,Nighttime,Yes,No
Male,29,Yes,Yes,Daylight,No,No
Male,18,Yes,No,Daylight,No,No
Female,56,No,Yes,Daylight,Yes,Yes
Female,36,No,Yes,Nighttime,Yes,No
Male,23,No,Yes,Nighttime,No,No
Female,22,No,Yes,Daylight,No,No
Female,50,Yes,Yes,Nighttime,No,Yes
Female,31,Yes,Yes,Daylight,No,No
Male,65,No,Yes,Daylight,Yes,Yes
Male,59,Yes,No,Nighttime,Yes,Yes
Female,29,Yes,No,Daylight,Yes,Yes
Male,23,No,No,Daylight,Yes,No
Female,61,No,No,Daylight,Yes,No
Female,35,Yes,No,Nighttime,Yes,No
Female,35,No,Yes,Nighttime,No,Yes
Male,35,No,No,Nighttime,Yes,No
Male,41,No,No,Daylight,Yes,Yes
Female,39,No,No,Nighttime,Yes,No
Female,60,No,Yes,Daylight,Yes,No
Male,69,No,Yes,Nighttime,No,No
Female,33,Yes,No,Nighttime,No,No
Female,54,No,No,Daylight,Yes,No
Male,36,No,Yes,Daylight,No,Yes
Female,38,Yes,Yes,Daylight,No,No
Male,50,Yes,Yes,Daylight,No,No
Female,68,No,No,Nighttime,No,No
Female,42,No,Yes,Nighttime,No,Yes
Female,54,Yes,No,Nighttime,Yes,No
Male,33,No,Yes,Daylight,Yes,No
Male,66,Yes,No,Nighttime,No,No
Male,23,Yes,No,Daylight,Yes,No
Female,40,Yes,Yes,Nighttime,No,No
Male,57,No,No,Nighttime,Yes,No
Male,42,Yes,No,Daylight,No,No
Male,63,No,Yes,Daylight,No,No
Female,27,No,Yes,Nighttime,Yes,No
Female,40,No,Yes,Daylight,No,No
Female,66,Yes,Yes,Daylight,Yes,No
Female,35,No,No,Nighttime,No,No
Male,42,No,No,Nighttime,Yes,No
Male,38,No,No,Daylight,Yes,No
Male,42,No,No,Daylight,Yes,Yes
Male,62,Yes,Yes,Daylight,No,Yes
Male,69,No,Yes,Nighttime,No,No
Male,18,No,No,Nighttime,Yes,No
Female,52,Yes,Yes,Daylight,No,No
Female,38,No,No,Daylight,No,No
Female,26,Yes,No,Daylight,No,No
Female,49,No,No,Nighttime,Yes,No
Male,53,Yes,Yes,Nighttime,Yes,No
Female,47,No,Yes,Nighttime,No,No
Male,62,Yes,No,Daylight,No,Yes
Female,44,Yes,No,Daylight,Yes,Yes
Male,20,No,No,Daylight,Yes,No
Female,33,Yes,No,Daylight,Yes,No
Female,47,Yes,Yes,Daylight,No,No
Female,39,Yes,No,Nighttime,No,No
Male,66,No,Yes,Daylight,No,No
Male,29,Yes,No,Daylight,Yes,No
Male,62,Yes,No,Nighttime,No,Yes
Female,25,No,No,Nighttime,No,Yes
Female,40,Yes,No,Daylight,Yes,Yes
Male,70,No,Yes,Daylight,No,No
Female,37,No,Yes,Nighttime,No,No
Male,39,Yes,No,Daylight,Yes,No
Female,34,No,No,Nighttime,Yes,Yes
Female,45,No,No,Daylight,Yes,No
Female,59,No,No,Nighttime,No,Yes
Female,20,No,No,Nighttime,Yes,No
Male,47,No,Yes,Daylight,No,No
Male,55,No,No,Daylight,Yes,No
Female,33,No,Yes,Daylight,No,No
Male,45,Yes,Yes,Nighttime,No,No
Male,69,Yes,No,Daylight,No,No
Female,33,Yes,No,Nighttime,No,Yes
Female,41,Yes,Yes,Daylight,No,Yes
Female,34,No,No,Nighttime,Yes,No
Female,31,No,Yes,Daylight,Yes,No
Female,60,No,No,Daylight,No,No
Male,67,No,Yes,Nighttime,No,No
Female,24,No,Yes,Daylight,Yes,No
Female,56,Yes,Yes,Daylight,Yes,No
Male,32,No,Yes,Daylight,No,No
Female,20,No,Yes,Daylight,Yes,No
Female,33,No,Yes,Daylight,No,No
Female,23,No,Yes,Nighttime,No,No
Female,25,No,No,Nighttime,No,No
Male,59,Yes,No,Daylight,Yes,No
Male,40,Yes,No,Nighttime,No,Yes
Female,30,No,Yes,Daylight,Yes,No
Female,41,No,Yes,Daylight,Yes,No
Male,54,Yes,No,Daylight,No,No
Male,50,No,Yes,Daylight,No,No
Male,54,Yes,No,Daylight,No,No
Male,19,No,No,Nighttime,No,Yes
Female,34,No,No,Daylight,No,No
Male,65,No,No,Daylight,No,Yes
Female,44,Yes,No,Nighttime,Yes,No
Male,70,No,No,Daylight,No,No
Male,32,No,No,Daylight,No,No
Female,19,No,Yes,Nighttime,Yes,No
Female,34,Yes,Yes,Nighttime,No,No
Male,49,Yes,Yes,Nighttime,No,No
Female,42,Yes,Yes,Daylight,Yes,No
Female,44,No,Yes,Nighttime,No,Yes
Male,21,No,No,Nighttime,No,No
Female,61,Yes,No,Daylight,Yes,No
Female,63,No,No,Daylight,Yes,No
Female,38,Yes,No,Nighttime,No,Yes
Male,57,No,No,Daylight,No,Yes
Female,23,Yes,Yes,Nighttime,Yes,No
Female,23,No,Yes,Daylight,Yes,No
Male,61,No,No,Daylight,Yes,No
Male,63,Yes,No,Daylight,Yes,No
Male,36,No,No,Nighttime,No,No
Female,34,No,No,Nighttime,No,No
Female,34,Yes,Yes,Daylight,Yes,Yes
Female,65,No,Yes,Daylight,Yes,No
Male,40,No,No,Nighttime,Yes,No
Female,69,No,No,Nighttime,No,No
Male,66,Yes,Yes,Nighttime,Yes,No
Male,32,No,Yes,Nighttime,No,No
Male,50,No,No,Nighttime,No,No
Male,45,Yes,Yes,Nighttime,No,No
Female,30,No,Yes,Daylight,No,No
Female,19,Yes,Yes,Daylight,Yes,No
Male,40,No,Yes,Daylight,Yes,No
Male,29,Yes,No,Daylight,No,Yes
Male,53,Yes,No,Nighttime,No,No
Female,51,No,No,Nighttime,Yes,No
Female,42,Yes,No,Nighttime,No,No
Female,35,No,Yes,Daylight,Yes,No
Female,30,No,No,Daylight,No,No
Male,60,No,No,Nighttime,No,No
Male,23,Yes,Yes,Daylight,Yes,No
Male,39,No,No,Daylight,Yes,No
Male,62,Yes,Yes,Daylight,No,No
Male,28,No,No,Nighttime,No,No
Male,20,Yes,No,Daylight,Yes,No
Female,37,No,No,Daylight,No,No
Female,24,No,No,Nighttime,Yes,No
Male,38,Yes,Yes,Nighttime,Yes,Yes
Female,56,Yes,Yes,Nighttime,Yes,No
Male,43,Yes,No,Daylight,Yes,No
Female,70,No,No,Daylight,No,Yes
Male,19,Yes,No,Nighttime,Yes,Yes
Female,19,Yes,No,Nighttime,Yes,No
Female,67,Yes,Yes,Nighttime,Yes,No
Female,53,Yes,No,Daylight,No,No
Female,39,Yes,No,Daylight,No,No
Male,34,No,No,Nighttime,Yes,No
Male,40,No,Yes,Nighttime,Yes,No
Male,53,Yes,No,Nighttime,No,No
Male,55,No,No,Nighttime,Yes,No
Female,55,No,Yes,Nighttime,No,No
Male,25,No,No,Daylight,No,Yes
Male,28,No,No,Daylight,Yes,No
Male,38,Yes,Yes,Nighttime,Yes,No
Male,51,No,No,Nighttime,No,No
Female,58,Yes,Yes,Nighttime,Yes,No
Male,31,No,No,Daylight,Yes,No
Male,64,Yes,No,Nighttime,No,No
Male,28,Yes,Yes,Nighttime,Yes,Yes
Female,27,No,No,Daylight,Yes,No
Female,42,No,No,Daylight,No,No
Male,65,No,Yes,Nighttime,Yes,No
Male,54,No,No,Nighttime,Yes,No
Female,58,Yes,Yes,Nighttime,Yes,Yes
Male,58,Yes,No,Nighttime,No,Yes
Female,61,No,No,Nighttime,Yes,Yes
Female,68,No,No,Daylight,No,Yes
Male,70,Yes,No,Nighttime,Yes,No
Male,52,No,No,Daylight,Yes,Yes
Male,40,Yes,No,Nighttime,No,No
Male,34,Yes,No,Daylight,Yes,Yes
Male,57,Yes,Yes,Nighttime,No,Yes
Female,50,Yes,No,Daylight,Yes,Yes
Female,41,Yes,No,Daylight,No,No
Male,53,No,Yes,Nighttime,Yes,No
Female,66,No,No,Daylight,Yes,No
Female,52,Yes,No,Daylight,Yes,No
Female,54,Yes,No,Nighttime,No,No
Female,60,Yes,Yes,Nighttime,No,No
Female,42,Yes,No,Daylight,No,No
Male,68,No,No,Nighttime,Yes,No
Female,52,Yes,Yes,Daylight,Yes,No
Male,47,No,No,Nighttime,No,No
Female,33,Yes,No,Daylight,No,Yes
Male,56,Yes,Yes,Daylight,No,No
Female,70,No,Yes,Daylight,Yes,No
Female,54,Yes,No,Nighttime,Yes,No
Male,21,Yes,Yes,Daylight,No,No
Male,62,No,No,Nighttime,Yes,No
